ID Client,Nom Client,Age,Revenu Annuel,Score Credit,Taux Endettement,Nombre Enfants,Date Adhesion,Ville,Montant Pret,Default,Colonne_Vide,Autre_Col_Vide
97,Client_97,38.0,47259.89,578.0,0.211,0.0,2020-04-06,Toulouse,111181.22,0,,
12,Client_12,28.0,,405.0,0.544,0.0,2020-01-12,,148630.69,0,,
68,Client_68,52.0,54082.25,,0.517,4.0,2020-03-08,,68569.64,0,,
133,Client_133,26.0,10228.98,308.0,0.422,,2020-05-12,Marseille,,0,,
7,Client_7,38.0,,,0.202,,2020-01-07,Marseille,123013.69,1,,
28,Client_28,50.0,37400.35,746.0,0.202,1.0,2020-01-28,,96934.59,1,,
79,Client_79,21.0,29584.34,495.0,0.058,2.0,2020-03-19,,148383.26,1,,
146,Client_146,39.0,19622.73,464.0,0.575,4.0,2020-05-25,Lyon,134491.42,0,,
39,Client_39,64.0,32309.74,752.0,0.625,,2020-02-08,Toulouse,75346.67,0,,
42,Client_42,72.0,60074.8,773.0,0.114,3.0,2020-02-11,Bordeaux,76000.72,0,,
5,Client_5,60.0,84502.92,304.0,0.248,0.0,2020-01-05,Toulouse,163976.94,0,,
142,Client_142,54.0,27254.41,692.0,0.469,,2020-05-21,Marseille,61773.09,1,,
33,Client_33,66.0,35009.09,385.0,0.227,3.0,2020-02-02,Toulouse,118697.67,1,,
67,Client_67,64.0,58312.67,,0.297,4.0,2020-03-07,Marseille,37457.83,0,,
128,Client_128,59.0,45759.45,522.0,0.326,1.0,2020-05-07,Paris,89271.89,0,,
96,Client_96,,15981.45,,0.078,,2020-04-05,,,0,,
11,Client_11,28.0,69343.81,669.0,0.51,0.0,2020-01-11,Marseille,93218.49,0,,
101,Client_101,64.0,65147.52,641.0,,4.0,2020-04-10,Bordeaux,23582.46,1,,
116,Client_116,18.0,62580.43,,0.415,3.0,2020-04-25,Paris,64193.74,0,,
1,Client_1,56.0,42741.99,,0.339,2.0,2020-01-01,Paris,37305.37,0,,
126,Client_126,50.0,15836.56,485.0,0.469,3.0,2020-05-05,Lyon,110705.85,0,,
118,Client_118,25.0,52553.96,324.0,0.383,4.0,2020-04-27,Bordeaux,153105.49,1,,
65,Client_65,,28548.72,567.0,0.381,0.0,2020-03-05,Lyon,,0,,
45,Client_45,20.0,63555.24,,0.438,1.0,2020-02-14,,96561.17,0,,
121,Client_121,68.0,44826.25,450.0,,,2020-04-30,Marseille,113168.11,0,,
29,Client_29,,25350.74,546.0,0.467,2.0,2020-01-29,Bordeaux,85895.0,0,,
41,Client_41,61.0,,,0.287,4.0,2020-02-10,Toulouse,63879.73,1,,
119,Client_119,,86759.07,768.0,0.105,0.0,2020-04-28,,109206.72,0,,
26,Client_26,19.0,25330.14,571.0,0.605,4.0,2020-01-26,Marseille,120850.03,0,,
24,Client_24,47.0,41163.53,787.0,0.244,2.0,2020-01-24,Toulouse,89376.61,1,,
124,Client_124,52.0,,408.0,0.229,0.0,2020-05-03,Lyon,85397.2,0,,
82,Client_82,35.0,46784.68,374.0,0.371,2.0,2020-03-22,Toulouse,53162.81,0,,
80,Client_80,71.0,56118.61,800.0,0.095,,2020-03-20,Bordeaux,84270.29,0,,
85,Client_85,,,719.0,0.401,2.0,2020-03-25,Bordeaux,81539.8,0,,
40,Client_40,,32662.66,503.0,0.085,0.0,2020-02-09,Bordeaux,47986.41,1,,
95,Client_95,74.0,42855.14,668.0,0.504,0.0,2020-04-04,Paris,113854.54,0,,
87,Client_87,53.0,57242.29,693.0,0.504,2.0,2020-03-27,Paris,126516.24,1,,
113,Client_113,24.0,15954.36,666.0,0.592,1.0,2020-04-22,Paris,51935.83,0,,
56,Client_56,,66019.82,315.0,0.213,0.0,2020-02-25,Marseille,,0,,
141,Client_141,41.0,29617.5,469.0,0.29,4.0,2020-05-20,Toulouse,82659.33,0,,
48,Client_48,24.0,74618.57,322.0,0.21,4.0,2020-02-17,Toulouse,94167.82,0,,
129,Client_129,,41738.15,432.0,0.555,4.0,2020-05-08,Marseille,74137.9,0,,
62,Client_62,45.0,,679.0,0.602,2.0,2020-03-02,Lyon,80749.37,0,,
74,Client_74,21.0,45984.74,798.0,0.547,4.0,2020-03-14,Paris,130923.22,0,,
34,Client_34,44.0,37293.19,584.0,0.647,1.0,2020-02-03,Marseille,91039.55,0,,
158,Client_158,72.0,38174.5,369.0,0.587,0.0,2020-06-06,Paris,144975.09,0,,
125,Client_125,52.0,54091.94,341.0,0.364,,2020-05-04,Marseille,94346.76,0,,
132,Client_132,,32797.18,534.0,,1.0,2020-05-11,Marseille,176209.21,0,,
63,Client_63,64.0,56845.09,844.0,0.1,4.0,2020-03-03,,164746.76,1,,
102,Client_102,70.0,33981.79,696.0,0.235,2.0,2020-04-11,,80663.71,0,,
105,Client_105,42.0,54513.6,695.0,0.103,2.0,2020-04-14,,93259.99,0,,
139,Client_139,72.0,25414.54,473.0,0.326,,2020-05-18,Paris,107990.92,0,,
54,Client_54,42.0,34976.3,,,2.0,2020-02-23,Bordeaux,,0,,
6,Client_6,,29623.64,402.0,0.311,2.0,2020-01-06,Marseille,64924.52,0,,
123,Client_123,25.0,54104.64,338.0,0.596,,2020-05-02,Lyon,86390.96,0,,
4,Client_4,32.0,43298.68,352.0,,0.0,2020-01-04,,124511.11,0,,
156,Client_156,22.0,34862.93,600.0,0.371,2.0,2020-06-04,Bordeaux,101981.13,0,,
50,Client_50,26.0,15901.33,399.0,0.206,3.0,2020-02-19,Marseille,124870.52,0,,
36,Client_36,45.0,23122.25,368.0,0.281,0.0,2020-02-05,Paris,100433.89,0,,
81,Client_81,46.0,,792.0,0.465,0.0,2020-03-21,Toulouse,53542.0,0,,
78,Client_78,,23347.75,414.0,0.13,3.0,2020-03-18,,61226.53,0,,
35,Client_35,,,519.0,0.468,0.0,2020-02-04,Lyon,145083.02,0,,
47,Client_47,68.0,50070.34,656.0,0.188,0.0,2020-02-16,,103458.43,0,,
8,Client_8,56.0,51359.15,,0.293,0.0,2020-01-08,,71189.62,0,,
44,Client_44,74.0,43737.52,640.0,0.152,3.0,2020-02-13,,111947.18,0,,
71,Client_71,53.0,42848.07,311.0,0.276,0.0,2020-03-11,,,0,,
148,Client_148,52.0,23461.49,638.0,0.634,2.0,2020-05-27,,180965.74,0,,
111,Client_111,18.0,58657.68,683.0,0.434,,2020-04-20,,142924.24,1,,
92,Client_92,25.0,71828.91,395.0,0.215,3.0,2020-04-01,Paris,50364.59,1,,
84,Client_84,61.0,47286.31,675.0,,1.0,2020-03-24,Paris,114555.48,0,,
151,Client_151,54.0,,641.0,0.543,0.0,2020-05-30,Paris,12199.39,0,,
155,Client_155,18.0,,516.0,0.379,1.0,2020-06-03,,156483.87,0,,
90,Client_90,65.0,,398.0,0.173,4.0,2020-03-30,Toulouse,67657.24,1,,
9,Client_9,36.0,58090.58,,0.393,1.0,2020-01-09,,27224.25,0,,
106,Client_106,,90916.43,744.0,0.525,2.0,2020-04-15,Marseille,,0,,
114,Client_114,26.0,32289.64,443.0,0.42,4.0,2020-04-23,Toulouse,165601.92,1,,
14,Client_14,70.0,,357.0,0.459,4.0,2020-01-14,Toulouse,182861.14,0,,
60,Client_60,19.0,53152.33,459.0,0.3,,2020-02-29,Marseille,86349.3,0,,
144,Client_144,,71683.87,816.0,0.468,4.0,2020-05-23,Lyon,96902.37,0,,
18,Client_18,,41567.29,426.0,0.1,1.0,2020-01-18,Marseille,59946.65,0,,
73,Client_73,57.0,63734.11,552.0,0.286,2.0,2020-03-13,Paris,89222.65,0,,
147,Client_147,44.0,54851.96,721.0,0.359,2.0,2020-05-26,Toulouse,55047.88,0,,
140,Client_140,40.0,33738.57,467.0,0.401,0.0,2020-05-19,Paris,112707.72,0,,
154,Client_154,20.0,38858.87,626.0,0.069,0.0,2020-06-02,,96123.53,0,,
64,Client_64,24.0,51472.34,726.0,,4.0,2020-03-04,,-12440.15,1,,
55,Client_55,31.0,42940.63,815.0,0.412,1.0,2020-02-24,Lyon,118240.06,0,,
108,Client_108,,55805.81,,0.338,1.0,2020-04-17,Paris,165446.41,0,,
51,Client_51,56.0,33560.6,479.0,0.322,,2020-02-20,Marseille,68952.09,0,,
30,Client_30,39.0,89154.95,375.0,,2.0,2020-01-30,,35620.23,0,,
59,Client_59,70.0,52686.36,,0.614,1.0,2020-02-28,Bordeaux,94956.54,0,,
49,Client_49,38.0,74475.52,821.0,0.266,1.0,2020-02-18,Lyon,32546.92,0,,
89,Client_89,,40717.66,491.0,0.195,3.0,2020-03-29,Marseille,134136.41,1,,
22,Client_22,41.0,39603.33,395.0,0.637,2.0,2020-01-22,Paris,74697.17,0,,
58,Client_58,43.0,,,0.096,,2020-02-27,Toulouse,94011.56,0,,
142,Client_142,54.0,27254.41,692.0,0.469,,2020-05-21,Marseille,61773.09,1,,
130,Client_130,,37871.14,462.0,0.511,2.0,2020-05-09,Marseille,89048.97,0,,
38,Client_38,,42802.91,393.0,0.599,3.0,2020-02-07,,,1,,
159,Client_159,31.0,38808.58,551.0,0.127,0.0,2020-06-07,,120354.79,0,,
2,Client_2,69.0,30516.63,,0.277,0.0,2020-01-02,Paris,18106.12,0,,
53,Client_53,21.0,25171.85,741.0,0.218,3.0,2020-02-22,Bordeaux,126482.36,0,,
150,Client_150,52.0,52424.93,664.0,0.184,3.0,2020-05-29,Bordeaux,,1,,
131,Client_131,45.0,35859.4,514.0,0.09,0.0,2020-05-10,,41215.13,0,,
152,Client_152,64.0,34692.37,799.0,0.257,4.0,2020-05-31,Paris,40055.07,0,,
104,Client_104,43.0,61573.92,476.0,0.631,4.0,2020-04-13,Paris,90082.94,0,,
100,Client_100,35.0,44620.69,361.0,0.336,1.0,2020-04-09,,104430.09,0,,
117,Client_117,61.0,,695.0,0.432,0.0,2020-04-26,Marseille,92612.78,0,,
88,Client_88,31.0,,756.0,,4.0,2020-03-28,,93999.83,0,,
75,Client_75,19.0,62538.11,334.0,0.391,3.0,2020-03-15,,84711.72,0,,
122,Client_122,34.0,47858.98,443.0,0.321,,2020-05-01,,117558.87,0,,
52,Client_52,35.0,47529.89,522.0,,,2020-02-21,Marseille,123098.91,1,,
21,Client_21,19.0,33389.36,812.0,0.531,2.0,2020-01-21,,,0,,
72,Client_72,,,601.0,,2.0,2020-03-12,Lyon,,0,,
107,Client_107,,25221.45,532.0,0.404,0.0,2020-04-16,Toulouse,68195.71,1,,
15,Client_15,53.0,35845.17,645.0,0.193,3.0,2020-01-15,Paris,140710.11,0,,
93,Client_93,,,489.0,,2.0,2020-04-02,,,0,,
103,Client_103,41.0,,318.0,0.54,3.0,2020-04-12,Paris,,0,,
